postal_code;locality_name;state_name;lat;lon
A4401;CASTELLANOS;Salta;"Argentina";-24.6806;-65.4194
A4401;LESSER;Salta;"Argentina";-24.6806;-65.4194
A4401;LOS MERCADOS;Salta;"Argentina";-24.6806;-65.4194
A4403;ISLA DE LA CANDELARIA;Salta;"Argentina";-25.5;-65.2917
A4403;KILOMETRO 1156 (APEADERO FCGB);Salta;"Argentina";-25.5;-65.2917
A4403;LA FALDA (CERRILLOS - DPTO. CERRILLOS);Salta;"Argentina";-25.5;-65.2917
A4403;EL COLEGIO;Salta;"Argentina";-25.5;-65.2917
A4403;CEBADOS;Salta;"Argentina";-25.5;-65.2917
A4403;COLON;Salta;"Argentina";-25.5;-65.2917
A4403;OLMOS;Salta;"Argentina";-25.5;-65.2917
A4403;SAN CLEMENTE;Salta;"Argentina";-25.5;-65.2917
A4403;SANTA ELENA (CERRILLOS, DPTO. CERRILLOS);Salta;"Argentina";-25.5;-65.2917
A4403;RODEOS;Salta;"Argentina";-25.5;-65.2917
A4403;SAN MIGUEL;Salta;"Argentina";-25.5;-65.2917
A4403;VILLA LOS TARCOS;Salta;"Argentina";-25.5;-65.2917
A4403;RIO ANCHO (APEADERO FCGB);Salta;"Argentina";-25.5;-65.2917
A4403;LA FAMA;Salta;"Argentina";-25.5;-65.2917
A4403;PIEDEMONTE;Salta;"Argentina";-25.5;-65.2917
A4403;ZANJON;Salta;"Argentina";-25.5;-65.2917
A4403;LA CANDELARIA;Salta;"Argentina";-26.1;-65.1
A4403;CERRILLOS;Salta;"Argentina";-24.9;-65.4833
A4405;EL PORVENIR;Salta;"Argentina";-25.3833;-64.6667
A4405;ROSARIO DE LERMA;Salta;"Argentina";-24.9833;-65.5833
A4405;EL MANZANO;Salta;"Argentina";-24.9333;-65.8
A4405;EL MOLLAR;Salta;"Argentina";-25.0333;-65.5667
A4405;CAMARA (ROSARIO DE LERMA, DPTO. ROSARIO DE LERMA);Salta;"Argentina";-25.0833;-65.4042
A4405;EL DORADO;Salta;"Argentina";-25.0833;-65.4042
A4405;EL PUCARA (APEADERO FCGB);Salta;"Argentina";-25.0833;-65.4042
